3;KABUPATEN BANGLI;1;Bangli;3;Landin;Aman;Aman
8;KABUPATEN KARANGASEM;;Karangasem;5; Seraya Tengah;Siaga;Aman
9;KABUPATEN BULELENG;1;Gerokgak;1; Tukadsumaga;Aman;Aman
9;KABUPATEN BULELENG;;Gerokgak;2; Pejarakan;Aman;Siaga
9;KABUPATEN BULELENG;;Gerokgak;3; Sumberklampok;Aman;Aman
9;KABUPATEN BULELENG;;Gerokgak;4; Pemuteran;Aman;Aman
9;KABUPATEN BULELENG;;Gerokgak;5; Banyupoh;Aman;Aman
9;KABUPATEN BULELENG;;Gerokgak;6; Penyambangan;Aman;Siaga
9;KABUPATEN BULELENG;;Gerokgak;7; Musi;Aman;Siaga
9;KABUPATEN BULELENG;;Gerokgak;8; Gerokgak;Aman;Siaga
9;KABUPATEN BULELENG;;Gerokgak;9; Patas;Aman;Siaga
9;KABUPATEN BULELENG;;Gerokgak;10; Pengulon;Aman;Aman
9;KABUPATEN BULELENG;;Gerokgak;11; Tinga-tinga;Aman;Aman
9;KABUPATEN BULELENG;;Gerokgak;12; Celukanbawang;Aman;Siaga
9;KABUPATEN BULELENG;;Gerokgak;`13; Sumberkima;Aman;Waspada
9;KABUPATEN BULELENG;;Gerokgak;14; Sanggalangit;Aman;Aman